kepid,kepoi_name,koi_disposition,koi_prad,koi_teq,koi_insol,koi_period,koi_duration,koi_depth,koi_steff,koi_slogg,koi_srad,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
8376848,K04007.01,CANDIDATE,25.01,858.0,127.97,11.4927112,7.764,291.5,6198.0,4.464,1.005,295.74899,44.37476,0,0,0,0
5350447,K04008.01,FALSE POSITIVE,27.74,441.0,8.97,70.7511986,6.198,858.1,5771.0,4.4,0.936,287.92313,40.517269,0,1,1,0
4173026,K02172.02,CONFIRMED,2.91,371.0,4.47,116.583183,5.8,819.0,5738.0,4.426,0.981,295.164,39.201408,0,0,0,0
8934103,K04009.01,CONFIRMED,3.06,346.0,3.39,175.13892,10.767,634.5,5497.0,4.243,1.241,283.3457,45.27446,0,0,0,0
7618364,K07844.01,FALSE POSITIVE,92.86,3345.0,29636.26,1.302061421,1.8238,1046.1,7757.0,3.837,2.783,294.96756,43.277409,1,0,1,0
4150390,K01768.01,FALSE POSITIVE,27.32,444.0,9.15,55.25178622,6.094,39874.0,5793.0,4.561,0.832,289.68658,39.297199,0,1,0,0
4851464,K01757.01,FALSE POSITIVE,21.49,1088.0,331.99,5.548250634,6.06772,42873.0,6124.0,4.455,1.028,295.88867,39.911301,0,1,0,0
4913000,K01775.01,FALSE POSITIVE,3.98,1392.0,889.36,4.442520831,2.4779,531.5,6496.0,4.272,1.33,288.4743,40.085678,0,0,1,1
4945877,K01936.01,FALSE POSITIVE,1.27,3448.0,33385.02,1.339670241,1.895,28.6,8867.0,3.988,2.245,297.19012,40.027969,0,0,1,0
5110423,K01777.01,FALSE POSITIVE,28.98,1111.0,360.92,2.685223546,4.0632,5494.6,5552.0,4.62,0.719,294.83679,40.265598,0,0,1,0
